phi	theta	svalue
55	20	100
55	25	100
55	30	100
55	35	100
55	40	100
55	45	100
55	50	100
55	55	-0.120548148148148
55	60	-0.232812037037037
55	65	-0.236934259259259
55	70	-0.164110185185185
55	75	-0.123160416666667
55	80	0.101720833333333
55	85	0.0519333333333333
55	90	-0.1468
55	95	-0.0334761904761905
55	100	0.405445833333333
55	105	0.820262962962963
55	110	0.814555555555556
55	115	0.637650793650794
55	120	0.354706349206349
55	125	0.0638278306878307
55	130	-0.350311851851852
55	135	100
55	140	100
55	145	100
55	150	100
55	155	100
55	160	100
55	165	100
55	170	100
55	175	100
55	180	100
60	5	100
60	10	100
60	15	100
60	20	100
60	25	100
60	30	100
60	35	100
60	40	100
60	45	100
60	50	-0.049603125
60	55	-0.16464537037037
60	60	-0.295286111111111
60	65	-0.09365
60	70	0.104596296296296
60	75	0.363913333333333
60	80	0.583025833333333
60	85	0.437381904761905
60	90	0.2026
60	95	0.0154523809523809
60	100	0.422258333333333
60	105	0.737707407407407
60	110	0.8806
60	115	0.786250793650794
60	120	0.621139682539683
60	125	0.299494497354497
60	130	-0.230565185185185
60	135	-0.637282261904762
60	140	100
60	145	100
60	150	100
60	155	100
60	160	100
60	165	100
60	170	100
60	175	100
60	180	100
65	5	100
65	10	100
65	15	100
65	20	100
65	25	100
65	30	100
65	35	100
65	40	100
65	45	100
65	50	-0.0945805555555556
65	55	-0.276699074074074
65	60	-0.414050925925926
65	65	-0.0462370370370371
65	70	0.352848148148148
65	75	0.8807425
65	80	1.0623175
65	85	0.7991925
65	90	0.541
65	95	0.140333333333333
65	100	0.345120833333333
65	105	0.556085185185185
65	110	0.781533333333333
65	115	0.852295238095238
65	120	0.786250793650794
65	125	0.515065608465608
65	130	-0.0746320370370371
65	135	-0.624273306878307
65	140	100
65	145	100
65	150	100
65	155	100
65	160	100
65	165	100
65	170	100
65	175	100
65	180	100
70	5	100
70	10	100
70	15	100
70	20	100
70	25	100
70	30	100
70	35	100
70	40	100
70	45	0.00688571428571429
70	50	-0.117540625
70	55	-0.366078125
70	60	-0.515176851851852
70	65	-0.0441740740740741
70	70	0.575448148148148
70	75	1.21460444444444
70	80	1.24709333333333
70	85	1.07638222222222
70	90	0.718844444444444
70	95	0.3658375
70	100	0.2251
70	105	0.39765
70	110	0.616422222222222
70	115	0.781533333333333
70	120	0.8806
70	125	0.632933333333333
70	130	0.161905
70	135	-0.518302936507937
70	140	-0.875828303571429
70	145	100
70	150	100
70	155	100
70	160	100
70	165	100
70	170	100
70	175	100
70	180	100
75	5	100
75	10	100
75	15	100
75	20	100
75	25	100
75	30	100
75	35	100
75	40	100
75	45	-0.104075
75	50	-0.2993125
75	55	-0.5897125
75	60	-0.620825925925926
75	65	-0.231359259259259
75	70	0.326018518518518
75	75	0.9803
75	80	1.14274444444444
75	85	1.20441555555556
75	90	0.820315555555556
75	95	0.4799925
75	100	0.13115
75	105	0.2119
75	110	0.451311111111111
75	115	0.677462222222222
